Wiesenweg 28;8054;Pirka;Austria
Opernring;8010;Graz;Austria
Bahnhofstraﬂe 40  ;8112;Gratwein;Austria
Fucking 7;5121;Fucking;Austria
Wiesenweg 1000000;8054;Pirka;Austria
Opernring;8050;Graz;Austria
Thalerhofstraﬂe 85  ;8141;Unterpremst‰tten;Austria
Dorfstraﬂe 52;8401;Kalsdorf bei Graz;Austria
Grazerstraﬂe 1;8072;Fernitz-Mellach;Austria
Oberberg 18;8143;Doubl;Austria
Oberblumeggstraﬂe 36;6969;Breitenbach in der Weststeiermark;Austria
asdfasdf;1234;yeeeeeeeeeethausen;Tschibuthi
Krottendorf 256;8564†;Krottendorf;Austria
Dietenberg 72;8536;Ditenberg;Austria
Gratzer Strassse 202;8430;keindorf;÷sterreich-Ungarn
